個人ID,年収（万円）,LN年収,女性ダミー,"中学3年生の時
の学年成績",教育年数,"大卒以上ダミー
（基準は高卒以下）","短期高等教育卒ダミー
（基準は高卒以下）",勤続年数,勤続年数の2乗,大企業ダミー,"正規雇用ダミー
（基準は非正規雇用）","ホワイトカラー・ダミー
（専門職、技術職、事務職。
基準はブルーカラー）","管理職ダミー
（基準は非管理職）","転職ダミー
（基準は転職経験なし）"
1092,50,3.91,1,3,12,0,0,14,196,0,0,0,0,1
1093,550,6.31,0,4,12,0,0,20,400,1,1,1,1,0
1094,250,5.52,0,1,12,0,0,20,400,0,0,1,0,0
1095,300,5.70,0,5,12,0,0,20,400,0,0,0,0,0
1096,400,5.99,1,5,12,0,0,14,196,0,1,1,0,1
1097,125,4.83,1,3,12,0,0,14,196,0,0,0,0,1
1098,100,4.61,0,3,12,0,0,20,400,0,0,1,0,1
1099,300,5.70,1,4,12,0,0,14,196,0,1,1,0,0
1100,450,6.11,0,4,12,0,0,20,400,0,1,0,0,0
1101,350,5.86,0,3,12,0,0,20,400,0,1,1,0,1
1102,300,5.70,0,2,12,0,0,20,400,0,0,1,0,0
1103,300,5.70,0,5,12,0,0,20,400,0,0,0,0,0
1104,200,5.30,0,4,12,0,0,20,400,0,0,1,0,0
1105,450,6.11,0,5,12,0,0,20,400,0,1,1,0,0
1106,250,5.52,1,4,12,0,0,14,196,0,0,0,0,0
1107,200,5.30,1,1,12,0,0,14,196,0,0,0,0,1
1108,300,5.70,0,2,12,0,0,20,400,0,0,0,0,0
1109,200,5.30,1,5,12,0,0,14,196,0,0,0,0,0
1110,350,5.86,0,1,12,0,0,20,400,0,1,0,0,0
1111,175,5.16,1,4,12,0,0,14,196,0,0,0,0,0
1112,400,5.99,0,1,12,0,0,20,400,0,1,0,0,0
1113,200,5.30,1,4,12,0,0,14,196,0,0,1,0,0
1114,200,5.30,1,5,12,0,0,14,196,0,0,1,0,0
1115,350,5.86,0,2,12,0,0,20,400,0,1,0,0,1
1116,250,5.52,1,2,12,0,0,14,196,0,0,1,0,0
1117,175,5.16,1,5,12,0,0,14,196,0,0,0,0,0
1118,400,5.99,0,3,12,0,0,20,400,0,1,1,0,1
1119,400,5.99,0,5,12,0,0,20,400,0,1,1,0,0
1120,200,5.30,1,3,12,0,0,14,196,0,0,0,0,0
1121,550,6.31,0,2,12,0,0,20,400,1,1,1,0,0
1122,550,6.31,0,4,12,0,0,20,400,1,1,1,1,0
1123,550,6.31,0,2,12,0,0,20,400,1,1,0,0,0
1124,400,5.99,0,2,12,0,0,20,400,0,1,0,0,0
1125,300,5.70,1,5,12,0,0,14,196,0,1,1,0,0
1126,250,5.52,1,2,12,0,0,14,196,0,0,1,0,0
1127,200,5.30,0,5,12,0,0,20,400,0,0,1,0,0
1128,350,5.86,0,5,12,0,0,20,400,0,1,1,0,0
1129,250,5.52,0,5,12,0,0,20,400,0,0,1,0,0
1130,275,5.62,1,5,12,0,0,14,196,0,1,0,0,0
1131,350,5.86,0,3,12,0,0,20,400,0,1,1,0,0
1132,300,5.70,0,2,12,0,0,20,400,0,0,0,0,0
1133,275,5.62,0,3,12,0,0,20,400,0,0,1,0,0
1134,250,5.52,0,2,12,0,0,20,400,0,0,1,0,1
1135,400,5.99,0,2,12,0,0,20,400,0,1,1,0,0
1136,350,5.86,0,1,12,0,0,20,400,0,1,0,0,0
1137,500,6.21,0,5,12,0,0,20,400,1,1,1,1,0
1138,500,6.21,0,5,12,0,0,20,400,1,1,1,1,0
1139,600,6.40,0,5,12,0,0,20,400,1,1,1,1,0
1140,500,6.21,0,5,12,0,0,20,400,1,1,1,1,0
1141,375,5.93,0,1,12,0,0,20,400,0,1,1,0,0
1142,500,6.21,0,2,12,0,0,20,400,1,1,1,0,1
1143,700,6.55,0,1,12,0,0,20,400,1,1,0,1,0
1144,700,6.55,0,1,12,0,0,20,400,1,1,0,1,0
1145,350,5.86,0,4,12,0,0,20,400,0,1,1,0,0
1146,350,5.86,0,5,12,0,0,20,400,0,1,1,0,0
1147,450,6.11,0,2,12,0,0,20,400,0,1,1,0,0
1148,500,6.21,0,2,12,0,0,20,400,1,1,0,0,0
1149,200,5.30,0,1,12,0,0,21,441,0,0,0,0,0
1150,50,3.91,1,1,12,0,0,14.7,216.09,0,0,0,0,0
1151,6.25,1.83,1,2,12,0,0,14.7,216.09,0,0,0,0,1
1152,100,4.61,1,1,12,0,0,14.7,216.09,0,0,0,0,1
1153,200,5.30,0,5,12,0,0,21,441,0,0,0,0,0
1154,50,3.91,1,1,12,0,0,14.7,216.09,0,0,0,0,1
1155,50,3.91,1,4,12,0,0,14.7,216.09,0,0,1,0,1
1156,50,3.91,1,1,12,0,0,14.7,216.09,0,0,0,0,1
1157,250,5.52,0,4,12,0,0,21,441,0,0,0,0,0
1158,100,4.61,1,4,12,0,0,14.7,216.09,0,0,1,0,0
1159,150,5.01,1,5,12,0,0,14.7,216.09,0,0,1,0,0
1160,256.25,5.55,0,4,12,0,0,21,441,0,0,1,0,0
1161,6.25,1.83,1,2,12,0,0,14.7,216.09,0,0,0,0,1
1162,206.25,5.33,1,4,12,0,0,14.7,216.09,0,0,0,0,0
1163,206.25,5.33,1,3,12,0,0,14.7,216.09,0,0,1,0,0
1164,6.25,1.83,1,2,12,0,0,14.7,216.09,0,0,1,0,1
1165,256.25,5.55,0,1,12,0,0,21,441,0,0,0,0,1
1166,56.25,4.03,1,2,12,0,0,14.7,216.09,0,0,1,0,1
1167,125,4.83,0,4,12,0,0,21,441,0,0,0,0,1
1168,50,3.91,1,3,12,0,0,14.7,216.09,0,0,1,0,1
1169,125,4.83,1,2,12,0,0,14.7,216.09,0,0,0,0,0
1170,175,5.16,1,1,12,0,0,14.7,216.09,0,0,1,0,0
1171,225,5.42,1,5,12,0,0,14.7,216.09,0,0,0,0,1
1172,25,3.22,1,5,12,0,0,14.7,216.09,0,0,1,0,1
1173,50,3.91,1,3,12,0,0,14.7,216.09,0,0,0,0,0
1174,250,5.52,1,3,12,0,0,14.7,216.09,0,0,1,0,1
1175,250,5.52,0,5,12,0,0,21,441,0,0,0,0,0
1176,300,5.70,0,5,12,0,0,21,441,0,0,1,0,0
1177,50,3.91,1,3,12,0,0,14.7,216.09,0,0,1,0,1
1178,300,5.70,0,5,12,0,0,21,441,0,0,1,0,0
1179,300,5.70,0,1,12,0,0,21,441,0,0,1,0,0
1180,100,4.61,1,3,12,0,0,14.7,216.09,0,0,0,0,0
1181,100,4.61,1,5,12,0,0,14.7,216.09,0,0,0,0,0
1182,250,5.52,0,2,12,0,0,21,441,0,0,0,0,0
1183,150,5.01,1,3,12,0,0,14.7,216.09,0,0,1,0,0
1184,250,5.52,0,1,12,0,0,21,441,0,0,0,0,1
1185,75,4.32,0,1,12,0,0,21,441,0,0,1,0,0
1186,150,5.01,0,3,12,0,0,21,441,0,0,1,0,0
1187,350,5.86,0,2,12,0,0,21,441,0,1,1,0,0
1188,350,5.86,0,1,12,0,0,21,441,0,1,1,0,0
1189,300,5.70,1,2,12,0,0,14.7,216.09,0,1,1,0,0
1190,300,5.70,1,4,12,0,0,14.7,216.09,0,1,1,0,0
1191,106.25,4.67,1,2,12,0,0,14.7,216.09,0,0,0,0,1
1192,106.25,4.67,1,4,12,0,0,14.7,216.09,0,0,0,0,1
1193,350,5.86,0,1,12,0,0,21,441,0,1,0,0,0
1194,350,5.86,0,1,12,0,0,21,441,0,1,0,0,0
1195,300,5.70,0,2,12,0,0,21,441,0,0,0,0,0
1196,250,5.52,0,1,12,0,0,21,441,0,0,1,0,0
1197,200,5.30,0,5,12,0,0,21,441,0,0,0,0,0
1198,150,5.01,1,5,12,0,0,14.7,216.09,0,0,0,0,1
1199,200,5.30,1,3,12,0,0,14.7,216.09,0,0,1,0,0
1200,400,5.99,0,5,12,0,0,21,441,0,1,1,0,0
1201,400,5.99,0,3,12,0,0,21,441,0,1,0,0,0
1202,250,5.52,0,3,12,0,0,21,441,0,0,0,0,0
1203,400,5.99,1,5,12,0,0,14.7,216.09,0,1,1,0,1
1204,156.25,5.05,1,1,12,0,0,14.7,216.09,0,0,1,0,0
1205,206.25,5.33,1,2,12,0,0,14.7,216.09,0,0,0,0,0
1206,250,5.52,0,3,12,0,0,21,441,0,0,1,0,0
1207,250,5.52,1,5,12,0,0,14.7,216.09,0,0,1,0,0
1208,200,5.30,0,5,12,0,0,21,441,0,0,1,0,0
1209,200,5.30,1,2,12,0,0,14.7,216.09,0,0,0,0,0
1210,206.25,5.33,1,1,12,0,0,14.7,216.09,0,0,0,0,0
1211,250,5.52,0,4,12,0,0,21,441,0,0,1,0,0
1212,225,5.42,1,3,12,0,0,14.7,216.09,0,0,1,0,0
1213,400,5.99,0,4,12,0,0,21,441,0,1,1,0,0
1214,300,5.70,0,3,12,0,0,21,441,0,0,0,0,0
1215,350,5.86,0,4,12,0,0,21,441,0,1,0,0,0
1216,200,5.30,1,4,12,0,0,14.7,216.09,0,0,1,0,0
1217,400,5.99,0,4,12,0,0,21,441,0,1,0,0,0
1218,400,5.99,0,1,12,0,0,21,441,0,1,1,0,0
1219,250,5.52,1,2,12,0,0,14.7,216.09,0,0,1,0,0
1220,400,5.99,0,1,12,0,0,21,441,0,1,0,0,0
1221,300,5.70,0,4,12,0,0,21,441,0,0,1,0,0
1222,350,5.86,0,1,12,0,0,21,441,0,1,0,0,0
1223,500,6.21,0,2,12,0,0,21,441,1,1,1,0,0
1224,275,5.62,1,4,12,0,0,14.7,216.09,0,1,1,0,0
1225,500,6.21,0,1,12,0,0,21,441,1,1,1,0,0
1226,300,5.70,0,2,12,0,0,21,441,0,0,1,0,0
1227,250,5.52,0,2,12,0,0,21,441,0,0,0,0,0
1228,350,5.86,1,1,12,0,0,14.7,216.09,0,1,0,0,0
1229,350,5.86,0,1,12,0,0,21,441,0,1,0,0,1
1230,350,5.86,0,4,12,0,0,21,441,0,1,0,0,0
1231,550,6.31,0,1,12,0,0,21,441,1,1,0,0,1
1232,750,6.62,0,2,12,0,0,21,441,1,1,1,1,0
1233,550,6.31,0,3,12,0,0,21,441,1,1,1,1,0
1234,200,5.30,1,3,12,0,0,15.4,237.16,0,0,1,0,1
1235,350,5.86,0,4,12,0,0,22,484,0,1,0,0,0
1236,250,5.52,1,4,12,0,0,15.4,237.16,0,0,0,0,0
1237,50,3.91,1,3,12,0,0,15.4,237.16,0,0,0,0,0
1238,100,4.61,1,2,12,0,0,15.4,237.16,0,0,0,0,0
1239,200,5.30,1,5,12,0,0,15.4,237.16,0,0,1,0,0
1240,156.25,5.05,0,1,12,0,0,22,484,0,0,0,0,0
1241,256.25,5.55,1,3,12,0,0,15.4,237.16,0,1,1,0,0
1242,206.25,5.33,1,5,12,0,0,15.4,237.16,0,0,1,0,0
1243,256.25,5.55,1,5,12,0,0,15.4,237.16,0,1,0,0,0
1244,56.25,4.03,1,5,12,0,0,15.4,237.16,0,0,1,0,1
1245,6.25,1.83,1,5,12,0,0,15.4,237.16,0,0,1,0,1
1246,31.25,3.44,1,1,12,0,0,15.4,237.16,0,0,0,0,1
1247,275,5.62,1,1,12,0,0,15.4,237.16,0,1,0,0,1
1248,125,4.83,1,2,12,0,0,15.4,237.16,0,0,0,0,0
1249,200,5.30,0,2,12,0,0,22,484,0,0,1,0,0
1250,250,5.52,0,1,12,0,0,22,484,0,0,1,0,0
1251,150,5.01,1,1,12,0,0,15.4,237.16,0,0,0,0,0
1252,200,5.30,0,5,12,0,0,22,484,0,0,1,0,0
1253,150,5.01,1,4,12,0,0,15.4,237.16,0,0,1,0,0
1254,400,5.99,0,4,12,0,0,22,484,0,1,1,0,0
1255,100,4.61,1,3,12,0,0,15.4,237.16,0,0,0,0,0
1256,150,5.01,0,3,12,0,0,22,484,0,0,0,0,0
1257,400,5.99,0,5,12,0,0,22,484,0,1,1,0,0
1258,300,5.70,0,5,12,0,0,22,484,0,0,1,0,0
1259,100,4.61,1,5,12,0,0,15.4,237.16,0,0,0,0,0
1260,50,3.91,1,3,12,0,0,15.4,237.16,0,0,0,0,1
1261,300,5.70,0,1,12,0,0,22,484,0,0,0,0,0
1262,150,5.01,1,3,12,0,0,15.4,237.16,0,0,0,0,0
1263,150,5.01,1,3,12,0,0,15.4,237.16,0,0,1,0,0
1264,300,5.70,0,5,12,0,0,22,484,0,0,1,0,0
1265,150,5.01,1,3,12,0,0,15.4,237.16,0,0,0,0,1
1266,300,5.70,1,5,12,0,0,15.4,237.16,0,1,0,0,0
1267,200,5.30,0,4,12,0,0,22,484,0,0,1,0,0
1268,350,5.86,1,1,12,0,0,15.4,237.16,0,1,0,0,0
1269,106.25,4.67,0,5,12,0,0,22,484,0,0,1,0,1
1270,106.25,4.67,0,5,12,0,0,22,484,0,0,0,0,0
1271,200,5.30,0,5,12,0,0,22,484,0,0,1,0,0
1272,250,5.52,1,5,12,0,0,15.4,237.16,0,0,1,0,0
1273,200,5.30,1,5,12,0,0,15.4,237.16,0,0,0,0,0
1274,200,5.30,1,2,12,0,0,15.4,237.16,0,0,0,0,0
1275,150,5.01,1,3,12,0,0,15.4,237.16,0,0,0,0,0
1276,200,5.30,0,1,12,0,0,22,484,0,0,1,0,0
1277,200,5.30,1,4,12,0,0,15.4,237.16,0,0,1,0,0
1278,150,5.01,1,1,12,0,0,15.4,237.16,0,0,0,0,1
1279,350,5.86,0,5,12,0,0,22,484,0,1,1,0,0
1280,250,5.52,0,5,12,0,0,22,484,0,0,0,0,0
1281,150,5.01,1,1,12,0,0,15.4,237.16,0,0,0,0,0
1282,150,5.01,1,5,12,0,0,15.4,237.16,0,0,1,0,1
1283,200,5.30,1,4,12,0,0,15.4,237.16,0,0,1,0,0
1284,200,5.30,1,5,12,0,0,15.4,237.16,0,0,1,0,0
1285,400,5.99,0,5,12,0,0,22,484,0,1,1,0,0
1286,300,5.70,0,5,12,0,0,22,484,0,0,1,0,0
1287,400,5.99,0,4,12,0,0,22,484,0,1,1,0,1
1288,300,5.70,1,5,12,0,0,15.4,237.16,0,1,0,0,0
1289,250,5.52,1,5,12,0,0,15.4,237.16,0,0,1,0,0
1290,200,5.30,1,2,12,0,0,15.4,237.16,0,0,1,0,1
1291,225,5.42,1,5,12,0,0,15.4,237.16,0,0,1,0,1
1292,400,5.99,0,2,12,0,0,22,484,0,1,0,0,0
1293,250,5.52,0,5,12,0,0,22,484,0,0,0,0,0
1294,250,5.52,0,1,12,0,0,22,484,0,0,0,0,0
1295,350,5.86,1,4,12,0,0,15.4,237.16,0,1,1,0,0
1296,550,6.31,0,1,12,0,0,22,484,1,1,1,0,0
1297,300,5.70,0,5,12,0,0,22,484,0,0,0,0,0
1298,550,6.31,0,1,12,0,0,22,484,1,1,0,0,0
1299,250,5.52,0,4,12,0,0,22,484,0,0,1,0,0
1300,250,5.52,0,3,12,0,0,22,484,0,0,0,0,0
1301,350,5.86,1,5,12,0,0,15.4,237.16,0,1,1,0,0
1302,250,5.52,1,1,12,0,0,15.4,237.16,0,0,0,0,0
1303,450,6.11,0,5,12,0,0,22,484,0,1,1,1,0
1304,450,6.11,0,1,12,0,0,22,484,0,1,1,0,0
1305,450,6.11,0,5,12,0,0,22,484,0,1,1,1,0
1306,300,5.70,0,3,12,0,0,22,484,0,0,1,0,1
1307,350,5.86,0,5,12,0,0,22,484,0,1,1,0,0
1308,450,6.11,0,3,12,0,0,22,484,0,1,0,0,0
1309,450,6.11,0,3,12,0,0,22,484,0,1,1,0,0
1310,400,5.99,0,4,12,0,0,22,484,0,1,1,0,0
1311,300,5.70,0,3,12,0,0,22,484,0,0,1,0,0
1312,350,5.86,0,5,12,0,0,22,484,0,1,1,0,0
1313,450,6.11,0,5,12,0,0,22,484,0,1,0,0,0
1314,700,6.55,0,4,12,0,0,22,484,1,1,1,1,0
1315,450,6.11,1,2,12,0,0,15.4,237.16,0,1,1,0,1
1316,450,6.11,0,5,12,0,0,22,484,0,1,1,0,0
1317,850,6.75,0,5,12,0,0,22,484,1,1,1,1,0
1318,350,5.86,1,5,12,0,0,15.4,237.16,0,1,1,0,0
1319,500,6.21,0,4,12,0,0,22,484,1,1,1,1,0
1320,356.25,5.88,0,3,12,0,0,22,484,0,1,1,0,0
1321,400,5.99,0,1,12,0,0,22,484,0,1,1,0,0
1322,600,6.40,0,2,12,0,0,22,484,1,1,1,0,0
1323,200,5.30,1,5,12,0,0,16.1,259.21,0,0,1,0,0
1324,250,5.52,0,5,12,0,0,23,529,0,0,1,0,0
1325,250,5.52,0,1,12,0,0,23,529,0,0,0,0,0
1326,50,3.91,1,1,12,0,0,16.1,259.21,0,0,0,0,0
1327,250,5.52,0,3,12,0,0,23,529,0,0,1,0,0
1328,100,4.61,1,4,12,0,0,16.1,259.21,0,0,1,0,1
1329,150,5.01,1,5,12,0,0,16.1,259.21,0,0,1,0,0
1330,6.25,1.83,1,3,12,0,0,16.1,259.21,0,0,0,0,1
1331,25,3.22,1,1,12,0,0,16.1,259.21,0,0,0,0,1
1332,56.25,4.03,1,2,12,0,0,16.1,259.21,0,0,0,0,1
1333,106.25,4.67,1,1,12,0,0,16.1,259.21,0,0,0,0,1
1334,6.25,1.83,1,4,12,0,0,16.1,259.21,0,0,0,0,1
1335,256.25,5.55,0,2,12,0,0,23,529,0,0,0,0,0
1336,125,4.83,1,4,12,0,0,16.1,259.21,0,0,1,0,0
1337,175,5.16,1,4,12,0,0,16.1,259.21,0,0,0,0,0
1338,25,3.22,1,2,12,0,0,16.1,259.21,0,0,0,0,1
1339,300,5.70,1,4,12,0,0,16.1,259.21,0,1,1,0,0
1340,100,4.61,1,5,12,0,0,16.1,259.21,0,0,1,0,0
1341,300,5.70,1,5,12,0,0,16.1,259.21,0,1,0,0,0
1342,250,5.52,1,4,12,0,0,16.1,259.21,0,0,0,0,0
1343,300,5.70,1,5,12,0,0,16.1,259.21,0,1,1,0,1
1344,400,5.99,0,1,12,0,0,23,529,0,1,0,0,0
1345,400,5.99,0,1,12,0,0,23,529,0,1,0,0,0
1346,550,6.31,0,3,12,0,0,23,529,1,1,1,1,0
1347,300,5.70,1,3,12,0,0,16.1,259.21,0,1,1,0,0
1348,56.25,4.03,1,1,12,0,0,16.1,259.21,0,0,1,0,0
1349,50,3.91,1,4,12,0,0,16.1,259.21,0,0,0,0,1
1350,50,3.91,0,3,12,0,0,23,529,0,0,0,0,0
1351,50,3.91,1,4,12,0,0,16.1,259.21,0,0,1,0,1
1352,150,5.01,0,2,12,0,0,23,529,0,0,1,0,1
1353,200,5.30,1,2,12,0,0,16.1,259.21,0,0,0,0,0
1354,200,5.30,1,4,12,0,0,16.1,259.21,0,0,1,0,0
1355,250,5.52,0,1,12,0,0,23,529,0,0,0,0,0
1356,150,5.01,0,5,12,0,0,23,529,0,0,0,0,1
1357,300,5.70,0,1,12,0,0,23,529,0,0,0,0,0
1358,106.25,4.67,1,4,12,0,0,16.1,259.21,0,0,0,0,1
1359,350,5.86,1,5,12,0,0,16.1,259.21,0,1,1,0,0
1360,150,5.01,1,3,12,0,0,16.1,259.21,0,0,0,0,0
1361,100,4.61,1,4,12,0,0,16.1,259.21,0,0,1,0,1
1362,300,5.70,1,1,12,0,0,16.1,259.21,0,1,0,0,0
1363,500,6.21,0,5,12,0,0,23,529,1,1,1,1,0
1364,200,5.30,0,3,12,0,0,23,529,0,0,0,0,1
1365,156.25,5.05,1,2,12,0,0,16.1,259.21,0,0,0,0,0
1366,650,6.48,0,4,12,0,0,23,529,1,1,1,1,0
1367,156.25,5.05,0,1,12,0,0,23,529,0,0,0,0,0
1368,300,5.70,1,4,12,0,0,16.1,259.21,0,1,0,0,0
1369,200,5.30,1,1,12,0,0,16.1,259.21,0,0,0,0,0
1370,450,6.11,0,4,12,0,0,23,529,0,1,1,0,0
1371,200,5.30,0,4,12,0,0,23,529,0,0,1,0,0
1372,250,5.52,0,5,12,0,0,23,529,0,0,0,0,1
1373,350,5.86,0,3,12,0,0,23,529,0,1,1,0,0
1374,500,6.21,0,1,12,0,0,23,529,1,1,1,0,0
1375,250,5.52,1,2,12,0,0,16.1,259.21,0,0,1,0,0
1376,600,6.40,0,5,12,0,0,23,529,1,1,1,1,0
1377,400,5.99,0,5,12,0,0,23,529,0,1,1,0,0
1378,275,5.62,0,1,12,0,0,23,529,0,0,1,0,0
1379,256.25,5.55,0,5,12,0,0,23,529,0,0,1,0,0
1380,450,6.11,0,3,12,0,0,23,529,0,1,1,0,0
1381,300,5.70,0,1,12,0,0,23,529,0,0,0,0,0
1382,500,6.21,0,5,12,0,0,23,529,1,1,1,1,0
1383,300,5.70,1,2,12,0,0,16.1,259.21,0,1,1,0,0
1384,400,5.99,0,1,12,0,0,23,529,0,1,0,0,0
1385,400,5.99,0,4,12,0,0,23,529,0,1,0,0,0
1386,450,6.11,1,3,12,0,0,16.1,259.21,0,1,0,0,0
1387,500,6.21,0,5,12,0,0,23,529,1,1,1,1,0
1388,450,6.11,0,1,12,0,0,23,529,0,1,1,0,0
1389,600,6.40,0,2,12,0,0,23,529,1,1,1,1,0
1390,550,6.31,0,1,12,0,0,23,529,1,1,0,0,0
1391,25,3.22,1,3,13,0,1,1.4,1.96,0,0,0,0,1
1392,25,3.22,1,4,13,0,1,1.4,1.96,0,0,0,0,1
1393,100,4.61,1,1,13,0,1,1.4,1.96,0,0,0,0,0
1394,6.25,1.83,1,5,13,0,1,1.4,1.96,0,0,0,0,1
1395,106.25,4.67,1,2,13,0,1,1.4,1.96,0,0,0,0,1
1396,50,3.91,1,5,13,0,1,1.4,1.96,0,0,1,0,0
1397,75,4.32,1,3,13,0,1,1.4,1.96,0,0,0,0,1
1398,75,4.32,1,4,13,0,1,1.4,1.96,0,0,0,0,0
1399,100,4.61,1,5,13,0,1,1.4,1.96,0,0,1,0,0
1400,200,5.30,1,1,13,0,1,1.4,1.96,0,0,0,0,0
1401,106.25,4.67,1,5,13,0,1,2.1,4.41,0,0,1,0,0
1402,106.25,4.67,0,3,13,0,1,3,9,0,0,1,0,0
1403,125,4.83,1,2,13,0,1,2.1,4.41,0,0,0,0,0
1404,125,4.83,1,3,13,0,1,2.1,4.41,0,0,0,0,0
1405,100,4.61,1,5,13,0,1,2.1,4.41,0,0,1,0,0
1406,100,4.61,1,4,13,0,1,2.1,4.41,0,0,0,0,0
1407,56.25,4.03,1,1,13,0,1,2.1,4.41,0,0,0,0,1
1408,150,5.01,1,2,13,0,1,2.1,4.41,0,0,1,0,0
1409,150,5.01,0,1,13,0,1,3,9,0,0,0,0,1
1410,150,5.01,1,2,13,0,1,2.1,4.41,0,0,0,0,1
1411,300,5.70,0,5,13,0,1,3,9,0,0,1,0,0
1412,200,5.30,0,3,13,0,1,3,9,0,0,0,0,0
1413,200,5.30,1,4,13,0,1,2.1,4.41,0,0,0,0,1
1414,150,5.01,1,5,13,0,1,2.1,4.41,0,0,0,0,1
1415,106.25,4.67,1,2,13,0,1,2.1,4.41,0,0,1,0,0
1416,300,5.70,1,4,13,0,1,2.1,4.41,0,1,1,0,0
1417,150,5.01,0,5,13,0,1,3,9,0,0,1,0,1
1418,150,5.01,1,3,13,0,1,2.1,4.41,0,0,0,0,0
1419,200,5.30,1,5,13,0,1,2.1,4.41,0,0,0,0,0
1420,150,5.01,1,1,13,0,1,2.1,4.41,0,0,0,0,1
1421,250,5.52,1,4,13,0,1,2.1,4.41,0,0,1,0,0
1422,200,5.30,0,4,13,0,1,3,9,0,0,0,0,0
1423,250,5.52,1,5,13,0,1,2.1,4.41,0,0,1,0,0
1424,150,5.01,1,2,13,0,1,2.8,7.84,0,0,0,0,0
1425,56.25,4.03,1,3,13,0,1,2.8,7.84,0,0,1,0,0
1426,106.25,4.67,1,1,13,0,1,2.8,7.84,0,0,0,0,1
1427,150,5.01,1,5,13,0,1,2.8,7.84,0,0,0,0,1
1428,56.25,4.03,1,2,13,0,1,2.8,7.84,0,0,0,0,1
1429,150,5.01,1,5,13,0,1,2.8,7.84,0,0,1,0,0
1430,150,5.01,0,5,13,0,1,4,16,0,0,1,0,0
1431,150,5.01,1,4,13,0,1,2.8,7.84,0,0,0,0,0
1432,200,5.30,1,2,13,0,1,2.8,7.84,0,0,1,0,0
1433,150,5.01,1,4,13,0,1,2.8,7.84,0,0,1,0,0
1434,150,5.01,0,1,13,0,1,4,16,0,0,1,0,0
1435,150,5.01,1,4,13,0,1,2.8,7.84,0,0,1,0,0
1436,150,5.01,0,4,13,0,1,4,16,0,0,1,0,0
1437,200,5.30,1,5,13,0,1,2.8,7.84,0,0,1,0,1
1438,250,5.52,1,4,13,0,1,2.8,7.84,0,0,0,0,0
1439,250,5.52,0,1,13,0,1,4,16,0,0,0,0,1
1440,150,5.01,0,4,13,0,1,4,16,0,0,0,0,0
1441,150,5.01,1,4,13,0,1,2.8,7.84,0,0,1,0,0
1442,150,5.01,1,1,13,0,1,2.8,7.84,0,0,0,0,0
1443,150,5.01,0,3,13,0,1,4,16,0,0,1,0,1
1444,106.25,4.67,1,1,13,0,1,2.8,7.84,0,0,0,0,0
1445,200,5.30,0,1,13,0,1,4,16,0,0,0,0,0
1446,156.25,5.05,1,4,13,0,1,2.8,7.84,0,0,0,0,1
1447,250,5.52,1,1,13,0,1,2.8,7.84,0,0,0,0,0
1448,350,5.86,1,2,13,0,1,2.8,7.84,0,1,0,0,0
1449,200,5.30,0,4,13,0,1,4,16,0,0,1,0,0
1450,300,5.70,0,2,13,0,1,4,16,0,0,0,0,0
1451,300,5.70,1,5,13,0,1,2.8,7.84,0,1,1,0,0
1452,100,4.61,1,2,13,0,1,3.5,12.25,0,0,1,0,1
1453,100,4.61,1,5,13,0,1,3.5,12.25,0,0,1,0,0
1454,50,3.91,1,3,13,0,1,3.5,12.25,0,0,0,0,1
1455,156.25,5.05,1,4,13,0,1,3.5,12.25,0,0,1,0,0
1456,156.25,5.05,0,5,13,0,1,5,25,0,0,1,0,1
1457,100,4.61,1,2,13,0,1,3.5,12.25,0,0,0,0,0
1458,200,5.30,0,5,13,0,1,5,25,0,0,0,0,0
1459,100,4.61,1,2,13,0,1,3.5,12.25,0,0,1,0,1
1460,200,5.30,1,3,13,0,1,3.5,12.25,0,0,0,0,0
1461,250,5.52,0,5,13,0,1,5,25,0,0,0,0,0
1462,200,5.30,0,3,13,0,1,5,25,0,0,0,0,0
1463,250,5.52,0,3,13,0,1,5,25,0,0,1,0,0
1464,106.25,4.67,1,2,13,0,1,3.5,12.25,0,0,0,0,1
1465,150,5.01,1,4,13,0,1,3.5,12.25,0,0,1,0,1
1466,150,5.01,1,4,13,0,1,3.5,12.25,0,0,1,0,0
1467,100,4.61,1,2,13,0,1,3.5,12.25,0,0,0,0,0
1468,150,5.01,1,5,13,0,1,3.5,12.25,0,0,1,0,0
1469,250,5.52,1,1,13,0,1,3.5,12.25,0,0,1,0,0
1470,300,5.70,0,1,13,0,1,5,25,0,0,1,0,0
1471,250,5.52,1,4,13,0,1,3.5,12.25,0,0,0,0,0
1472,300,5.70,0,5,13,0,1,5,25,0,0,1,0,0
1473,300,5.70,0,4,13,0,1,5,25,0,0,1,0,1
1474,156.25,5.05,1,1,13,0,1,3.5,12.25,0,0,1,0,0
1475,200,5.30,0,1,13,0,1,5,25,0,0,1,0,0
1476,156.25,5.05,1,3,13,0,1,3.5,12.25,0,0,0,0,1
1477,200,5.30,0,1,13,0,1,6,36,0,0,0,0,1
1478,100,4.61,0,5,13,0,1,6,36,0,0,0,0,1
1479,106.25,4.67,0,5,13,0,1,6,36,0,0,0,0,0
1480,400,5.99,0,2,13,0,1,6,36,0,1,1,0,0
1481,200,5.30,0,1,13,0,1,6,36,0,0,0,0,0
1482,250,5.52,0,3,13,0,1,6,36,0,0,0,0,0
1483,200,5.30,0,4,13,0,1,6,36,0,0,1,0,0
